  [ppo train] slot=600 team_r=2.4608
  [ppo train] slot=650 team_r=5.7855
  [ppo train] slot=700 team_r=20.6726
  [ppo train] slot=750 team_r=6.1362
  [ppo train] slot=800 team_r=7.9531
  [ppo train] slot=850 team_r=-0.5509
  [ppo train] slot=900 team_r=2.8540
  [ppo train] slot=950 team_r=5.4267
    reward=89.7470 acc=0.1619 delay=1.678 energy=0.134 backlog=0 vio=0.406 ms/slot=13.26 (dec=5.29 comm=6.82 alloc=1.14) wall=30s
=== ppo seed=4 ===
  [ppo train] slot=0 team_r=0.0000
  [ppo train] slot=50 team_r=13.8974
  [ppo train] slot=100 team_r=2.7171
  [ppo train] slot=150 team_r=5.1810
  [ppo train] slot=200 team_r=7.0958
  [ppo train] slot=250 team_r=9.9994
  [ppo train] slot=300 team_r=10.2710
  [ppo train] slot=350 team_r=1.6643
  [ppo train] slot=400 team_r=3.6174
  [ppo train] slot=450 team_r=4.9907
  [ppo train] slot=500 team_r=5.5812
  [ppo train] slot=550 team_r=5.1978
  [ppo train] slot=600 team_r=3.6910
  [ppo train] slot=650 team_r=15.6239
  [ppo train] slot=700 team_r=4.6130
  [ppo train] slot=750 team_r=2.5133
  [ppo train] slot=800 team_r=7.7864
  [ppo train] slot=850 team_r=0.0000
  [ppo train] slot=900 team_r=-0.5984
  [ppo train] slot=950 team_r=18.7056
    reward=86.5644 acc=0.1599 delay=1.730 energy=0.136 backlog=0 vio=0.389 ms/slot=13.26 (dec=5.04 comm=6.82 alloc=1.40) wall=518s
=== mappo seed=0 ===
  [mappo train] slot=0 team_r=0.0000
  [mappo train] slot=50 team_r=5.0846
  [mappo train] slot=100 team_r=14.6120
  [mappo train] slot=150 team_r=7.0511
  [mappo train] slot=200 team_r=10.9592
  [mappo train] slot=250 team_r=3.8090
  [mappo train] slot=300 team_r=4.2921
  [mappo train] slot=350 team_r=4.0858
  [mappo train] slot=400 team_r=5.5963
  [mappo train] slot=450 team_r=3.3554
  [mappo train] slot=500 team_r=10.3688
  [mappo train] slot=550 team_r=7.7638
  [mappo train] slot=600 team_r=6.0747
  [mappo train] slot=650 team_r=-0.6228
  [mappo train] slot=700 team_r=-1.5542
  [mappo train] slot=750 team_r=3.8022
  [mappo train] slot=800 team_r=10.2854
  [mappo train] slot=850 team_r=7.4946
  [mappo train] slot=900 team_r=0.0000
  [mappo train] slot=950 team_r=0.0000
    reward=83.3636 acc=0.1636 delay=1.767 energy=0.138 backlog=0 vio=0.408 ms/slot=5.99 (dec=0.77 comm=4.02 alloc=1.20) wall=26s
=== mappo seed=1 ===
  [mappo train] slot=0 team_r=0.0000
  [mappo train] slot=50 team_r=14.7495
  [mappo train] slot=100 team_r=11.0596
  [mappo train] slot=150 team_r=4.0531
  [mappo train] slot=200 team_r=13.7350
  [mappo train] slot=250 team_r=-2.7676
  [mappo train] slot=300 team_r=0.0000
  [mappo train] slot=350 team_r=5.8414
  [mappo train] slot=400 team_r=0.0000
  [mappo train] slot=450 team_r=3.8169
  [mappo train] slot=500 team_r=0.0000
  [mappo train] slot=550 team_r=-2.4782
  [mappo train] slot=600 team_r=11.2779
  [mappo train] slot=650 team_r=5.5584
  [mappo train] slot=700 team_r=16.0682
  [mappo train] slot=750 team_r=-1.9016
  [mappo train] slot=800 team_r=3.3889
  [mappo train] slot=850 team_r=10.1986
  [mappo train] slot=900 team_r=0.0000
  [mappo train] slot=950 team_r=6.2465
    reward=86.1730 acc=0.1568 delay=1.713 energy=0.135 backlog=0 vio=0.386 ms/slot=5.74 (dec=0.69 comm=4.02 alloc=1.03) wall=927s
=== mappo seed=2 ===
  [mappo train] slot=0 team_r=0.0000
  [mappo train] slot=50 team_r=21.2528
  [mappo train] slot=100 team_r=7.9910
  [mappo train] slot=150 team_r=6.7151
  [mappo train] slot=200 team_r=6.7432
  [mappo train] slot=250 team_r=10.2519
  [mappo train] slot=300 team_r=0.5149
  [mappo train] slot=350 team_r=6.9037
  [mappo train] slot=400 team_r=-1.4393
  [mappo train] slot=450 team_r=0.0000
  [mappo train] slot=500 team_r=0.0000
  [mappo train] slot=550 team_r=0.0000
  [mappo train] slot=600 team_r=8.8446
  [mappo train] slot=650 team_r=9.4672
  [mappo train] slot=700 team_r=2.5750
  [mappo train] slot=750 team_r=13.3153
  [mappo train] slot=800 team_r=3.5161
  [mappo train] slot=850 team_r=4.6865
  [mappo train] slot=900 team_r=3.4495
  [mappo train] slot=950 team_r=8.7950
    reward=86.3159 acc=0.1611 delay=1.733 energy=0.135 backlog=0 vio=0.398 ms/slot=5.63 (dec=0.65 comm=4.02 alloc=0.95) wall=22s
=== mappo seed=3 ===
  [mappo train] slot=0 team_r=0.0000
  [mappo train] slot=50 team_r=4.7975
  [mappo train] slot=100 team_r=7.6242
  [mappo train] slot=150 team_r=14.5345
  [mappo train] slot=200 team_r=17.3725
  [mappo train] slot=250 team_r=0.0000
  [mappo train] slot=300 team_r=18.1857
  [mappo train] slot=350 team_r=14.7577
  [mappo train] slot=400 team_r=0.0000
  [mappo train] slot=450 team_r=12.2617
  [mappo train] slot=500 team_r=9.6352
  [mappo train] slot=550 team_r=3.2146
  [mappo train] slot=600 team_r=0.0000
  [mappo train] slot=650 team_r=5.9339
  [mappo train] slot=700 team_r=8.0559
  [mappo train] slot=750 team_r=4.6027
  [mappo train] slot=800 team_r=6.6570
  [mappo train] slot=850 team_r=1.2299
  [mappo train] slot=900 team_r=0.8319
  [mappo train] slot=950 team_r=6.3588
    reward=90.0448 acc=0.1639 delay=1.678 energy=0.134 backlog=0 vio=0.388 ms/slot=5.70 (dec=0.68 comm=4.02 alloc=1.00) wall=968s
=== mappo seed=4 ===
  [mappo train] slot=0 team_r=0.0000
  [mappo train] slot=50 team_r=7.6189
  [mappo train] slot=100 team_r=1.6454
  [mappo train] slot=150 team_r=3.5322
  [mappo train] slot=200 team_r=5.5618
  [mappo train] slot=250 team_r=13.3709
  [mappo train] slot=300 team_r=1.6876
  [mappo train] slot=350 team_r=0.1714
  [mappo train] slot=400 team_r=1.2805
  [mappo train] slot=450 team_r=4.9907
  [mappo train] slot=500 team_r=5.5812
  [mappo train] slot=550 team_r=5.1978
  [mappo train] slot=600 team_r=4.9422
  [mappo train] slot=650 team_r=7.9074
  [mappo train] slot=700 team_r=4.8852
  [mappo train] slot=750 team_r=5.2960
  [mappo train] slot=800 team_r=12.0488
  [mappo train] slot=850 team_r=0.0000
  [mappo train] slot=900 team_r=0.0000
  [mappo train] slot=950 team_r=17.3777
    reward=84.1831 acc=0.1577 delay=1.744 energy=0.138 backlog=0 vio=0.394 ms/slot=5.67 (dec=0.65 comm=4.02 alloc=1.00) wall=22s
=== cto seed=0 ===
    reward=115.4453 acc=0.1699 delay=1.489 energy=0.095 backlog=0 vio=0.191 ms/slot=10.46 (dec=2.66 comm=6.82 alloc=0.98) wall=953s
=== cto seed=1 ===
    reward=118.2469 acc=0.1722 delay=1.444 energy=0.093 backlog=0 vio=0.193 ms/slot=10.71 (dec=2.82 comm=6.82 alloc=1.07) wall=27s
=== cto seed=2 ===
    reward=119.2945 acc=0.1735 delay=1.445 energy=0.093 backlog=0 vio=0.193 ms/slot=11.16 (dec=3.20 comm=6.82 alloc=1.13) wall=979s
=== cto seed=3 ===
    reward=120.4801 acc=0.1706 delay=1.417 energy=0.093 backlog=0 vio=0.183 ms/slot=11.09 (dec=3.09 comm=6.82 alloc=1.17) wall=29s
=== cto seed=4 ===
    reward=118.4193 acc=0.1689 delay=1.444 energy=0.096 backlog=0 vio=0.177 ms/slot=10.34 (dec=2.58 comm=6.82 alloc=0.94) wall=1006s

=== SUMMARY (mean ± std) ===
name         reward      acc    delay   energy    backlog      vio    ms/slot
causal      117.378±1.60    0.174±0.00    1.467±0.02    0.095±0.00      0.087±0.00    0.196±0.01      5.923±0.23
ucb          95.618±2.80    0.131±0.00    1.557±0.03    0.121±0.00      0.090±0.00    0.307±0.02      5.914±0.14
dts          89.012±1.83    0.164±0.00    1.702±0.02    0.133±0.00      0.095±0.00    0.381±0.01      6.028±0.17
gdo         104.181±1.32    0.208±0.00    1.674±0.02    0.115±0.00      0.094±0.00    0.301±0.01      8.878±0.28
