cell_id,ue_id,distance_m
20,28,163.6
20,29,178.9
20,30,216.2
20,31,247.2
20,32,166.6
20,33,196.0
20,34,279.2
20,35,272.8
20,36,82.9
20,37,60.9
20,38,35.9
20,39,59.9
20,40,90.6
20,41,55.7
