slot,cell_id,ue_id,sinr_db,se_bps_hz,n_layers
0,11,25,-34.88,0.0005,2
0,11,26,-8.62,0.1857,2
0,11,27,-18.85,0.0187,2
0,11,28,-37.15,0.0003,2
0,11,29,-10.29,0.1290,2
0,11,30,-40.58,0.0001,2
0,11,31,-64.47,0.0000,2
0,11,32,-63.22,0.0000,2
0,11,33,-46.57,0.0000,2
0,11,34,-41.94,0.0001,2
0,11,35,-2.78,0.6113,2
0,11,36,-26.01,0.0036,2
0,11,37,-28.16,0.0022,2
0,11,38,-54.32,0.0000,2
0,11,39,-36.77,0.0003,2
0,11,40,-31.71,0.0010,2
0,11,41,-15.08,0.0441,2
0,12,0,-45.60,0.0000,2
0,12,1,-36.72,0.0003,2
0,12,2,-55.81,0.0000,2
0,12,3,-34.30,0.0005,2
0,12,4,-46.59,0.0000,2
0,12,5,-38.74,0.0002,2
0,12,6,-44.25,0.0001,2
0,12,7,-39.95,0.0001,2
0,12,8,-61.46,0.0000,2
0,12,9,-54.19,0.0000,2
0,12,10,-45.77,0.0000,2
0,12,11,-25.20,0.0044,2
0,12,12,-47.09,0.0000,2
0,12,13,-20.16,0.0138,2
0,12,14,-40.30,0.0001,2
0,12,15,-30.96,0.0012,2
0,12,16,-54.61,0.0000,2
0,12,17,-38.63,0.0002,2
0,12,18,-18.47,0.0204,2
0,12,19,-300.00,0.0000,2
0,12,20,-18.92,0.0184,2
0,12,21,-34.64,0.0005,2
0,12,22,-27.18,0.0028,2
0,12,23,5.27,2.1254,2
0,12,24,-21.07,0.0112,2
0,12,25,-35.81,0.0004,2
0,12,26,-11.04,0.1093,2
0,12,27,-26.81,0.0030,2
0,12,28,-25.80,0.0038,2
0,12,29,-32.20,0.0009,2
0,12,30,-15.57,0.0394,2
0,12,31,-44.58,0.0001,2
0,12,32,-66.23,0.0000,2
0,12,33,-57.48,0.0000,2
0,12,34,-50.37,0.0000,2
0,12,35,-44.24,0.0001,2
0,12,36,0.40,1.0672,2
0,12,37,-38.23,0.0002,2
0,12,38,-25.22,0.0043,2
0,12,39,-16.10,0.0350,2
0,12,40,-38.41,0.0002,2
0,12,41,-26.75,0.0030,2
0,13,0,-22.17,0.0087,2
0,13,1,-31.85,0.0009,2
0,13,2,-28.26,0.0022,2
0,13,3,-8.38,0.1958,2
0,13,4,-24.46,0.0052,2
0,13,5,4.14,1.8462,2
0,13,6,-17.03,0.0283,2
0,13,7,-18.93,0.0183,2
0,13,8,-11.70,0.0945,2
0,13,9,-23.92,0.0058,2
0,13,10,-54.47,0.0000,2
0,13,11,-17.91,0.0232,2
0,13,12,-42.71,0.0001,2
0,13,13,-58.45,0.0000,2
0,13,14,-46.27,0.0000,2
0,13,15,-30.89,0.0012,2
0,13,16,-24.95,0.0046,2
0,13,17,-18.81,0.0188,2
0,13,18,-32.59,0.0008,2
0,13,19,-46.88,0.0000,2
0,13,20,-0.89,0.8594,2
0,13,21,-46.91,0.0000,2
0,13,22,-25.14,0.0044,2
0,13,23,-9.11,0.1670,2
0,13,24,-14.32,0.0524,2
0,13,25,-21.97,0.0091,2
0,13,26,-6.56,0.2881,2
0,13,27,-3.43,0.5404,2
0,13,28,-30.22,0.0014,2
0,13,29,-40.62,0.0001,2
0,13,30,-0.41,0.9340,2
0,13,31,-18.78,0.0190,2
0,13,32,-36.17,0.0003,2
0,13,33,-29.06,0.0018,2
0,13,34,-15.89,0.0367,2
0,13,35,2.42,1.4573,2
0,13,36,-40.90,0.0001,2
0,13,37,-50.21,0.0000,2
